NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062164236,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,5,A,E,A,B,D,A,A,B,A,B,B,A,D,B,B,B,E,A
210062166784,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,C,D,F,F,3,A,A,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062168436,2024,2,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,B,B,3,A,B,A,B,C,A,A,B,A,B,B,A,B,A,B,A,B,A
210062169214,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,C,E,C,5,B,H,B,D,D,C,B,C,B,B,B,B,D,A,B,A,D,D
210062174401,2024,8,F,1,2,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,C,C,F,B,1,A,B,A,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A
210062174866,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,C,F,4,A,C,A,B,B,B,A,B,A,B,B,B,B,A,B,A,E,A
210062175504,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,G,C,D,3,A,F,A,B,C,B,A,C,A,B,B,A,B,A,B,A,C,A
210062175505,2024,3,M,1,2,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,4,B,C,A,B,D,A,A,B,A,B,B,A,B,A,B,A,C,A
210062176314,2024,11,F,0,1,1,1,9,,0,3523107,Itaquaquecetuba,35,SP,D,E,D,B,2,B,D,A,B,B,A,A,B,A,B,B,A,B,A,B,B,C,A
210062177206,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,C,F,3,A,D,A,B,C,B,A,B,A,B,B,A,C,A,B,B,C,A
210062178622,2024,3,F,1,3,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,F,E,D,C,6,A,C,B,B,B,A,A,B,A,A,B,A,B,A,B,A,D,A
